PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,500,20,15,53,30,17,15,54,34.8304,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,188,124
1,1000,20,15,54,0,17,15,54,84.8305,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,187,86
2,1500,20,15,54,0,17,15,55,34.8311,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,193,77
3,2000,20,15,55,0,17,15,55,84.8306,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,195,69
4,2500,20,15,55,0,17,15,56,33.775,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,174,60
5,3000,20,15,56,0,17,15,56,83.7755,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,195,63
6,3500,20,15,56,0,17,15,57,33.7745,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,196,54
7,4000,20,15,57,0,17,15,57,83.7743,638,0.0,0,0,0,0,0,0,0,0,-202398090,-402807540,128,638,11,136,194,186
8,4500,20,15,57,0,17,15,58,33.7744,638,0.0,0,0,0,0,0,0,0,0,-202398090,-402807540,128,638,11,136,196,177
9,5000,20,15,58,0,17,15,58,84.3451,2344,0.0,0,0,0,0,0,0,0,0,-202397937,-402806930,165,2344,10,135,182,44
10,5500,20,15,58,0,17,15,59,33.7721,2344,0.0,0,0,0,0,0,0,0,0,-202397937,-402806930,165,2344,10,135,198,35
11,6000,20,15,59,0,17,15,59,83.7724,966,0.0,0,0,0,0,0,0,0,0,-202398014,-402807083,187,966,8,107,191,91
12,6500,20,15,59,0,17,16,0,34.9297,966,0.0,0,0,0,0,0,0,0,0,-202398014,-402807083,187,966,8,107,184,82
13,7000,20,16,0,0,17,16,0,84.9327,433,0.0,0,0,0,0,0,0,0,0,-202398109,-402807350,153,433,8,107,185,84
14,7500,20,16,0,0,17,16,1,35.1045,433,0.0,0,0,0,0,0,0,0,0,-202398109,-402807350,153,433,8,107,190,75
15,8000,20,16,1,0,17,16,1,83.5417,325,0.0,0,0,0,0,0,0,0,0,-202398128,-402807426,158,325,8,107,194,17
16,8500,20,16,1,0,17,16,2,33.4806,325,0.0,0,0,0,0,0,0,0,0,-202398128,-402807426,158,325,8,107,181,8
17,9000,20,16,2,0,17,16,2,85.0432,325,0.0,0,0,0,0,0,0,0,0,-202398014,-402807312,130,325,8,107,177,200
18,9500,20,16,2,0,17,16,3,33.874,325,0.0,0,0,0,0,0,0,0,0,-202398014,-402807312,130,325,8,107,183,191
19,10000,20,16,3,0,17,16,3,83.8717,305,0.0,0,0,0,0,0,0,0,0,-202397994,-402807273,110,305,8,107,189,183
20,10500,20,16,3,0,17,16,4,33.8714,305,0.0,0,0,0,0,0,0,0,0,-202397994,-402807273,110,305,8,107,182,174
21,11000,20,16,4,0,17,16,4,83.8719,122,0.0,0,0,0,0,0,0,0,0,-202397975,-402807235,108,122,9,107,177,109
22,11500,20,16,4,0,17,16,5,33.8715,122,0.0,0,0,0,0,0,0,0,0,-202397975,-402807235,108,122,9,107,175,100
23,12000,20,16,5,0,17,16,5,84.2816,114,0.0,0,0,0,0,0,0,0,0,-202397956,-402807197,103,114,8,107,174,127
24,12500,20,16,5,0,17,16,6,34.281,114,0.0,0,0,0,0,0,0,0,0,-202397956,-402807197,103,114,8,107,176,118
25,13000,20,16,6,0,17,16,6,84.2813,105,0.0,0,0,0,0,0,0,0,0,-202397975,-402807159,96,105,8,107,177,104
26,13500,20,16,6,0,17,16,7,34.2825,105,0.0,0,0,0,0,0,0,0,0,-202397975,-402807159,96,105,8,107,172,95
27,14000,20,16,7,0,17,16,7,83.7972,53,0.0,0,0,0,0,0,0,0,0,-202397975,-402807197,88,53,8,107,177,193
28,14500,20,16,7,0,17,16,8,34.1878,53,0.0,0,0,0,0,0,0,0,0,-202397975,-402807197,88,53,8,107,179,184
29,15000,20,16,8,0,17,16,8,84.1879,16,0.0,0,0,0,0,0,0,0,0,-202397994,-402807197,81,16,10,107,178,78
30,15500,20,16,8,0,17,16,9,34.2353,16,0.0,0,0,0,0,0,0,0,0,-202397994,-402807197,81,16,10,107,174,69
31,16000,20,16,9,0,17,16,9,84.2349,68,0.0,0,0,0,0,0,0,0,0,-202398014,-402807235,73,68,10,107,169,99
32,16500,20,16,9,0,17,16,10,34.0103,68,0.0,0,0,0,0,0,0,0,0,-202398014,-402807235,73,68,10,107,174,90
33,17000,20,16,10,0,17,16,10,84.0102,50,0.0,0,0,0,0,0,0,0,0,-202398014,-402807273,65,50,10,107,175,0
34,17500,20,16,10,0,17,16,11,34.0102,50,0.0,0,0,0,0,0,0,0,0,-202398014,-402807273,65,50,10,107,174,247
35,18000,20,16,11,0,17,16,11,84.0097,3,0.0,0,0,0,0,0,0,0,0,-202398014,-402807273,60,3,10,90,172,123
36,18500,20,16,11,0,17,16,12,34.0102,3,0.0,0,0,0,0,0,0,0,0,-202398014,-402807273,60,3,10,90,165,114
37,19000,20,16,12,0,17,16,12,83.8725,5,0.0,0,0,0,0,0,0,0,0,-202397994,-402807273,58,5,10,90,176,128
38,19500,20,16,12,0,17,16,13,33.8723,5,0.0,0,0,0,0,0,0,0,0,-202397994,-402807273,58,5,10,90,169,119
39,20000,20,16,13,0,17,16,13,83.8725,20,0.0,0,0,0,0,0,0,0,0,-202397975,-402807273,58,20,10,90,179,160
40,20500,20,16,13,0,17,16,14,33.8731,20,0.0,0,0,0,0,0,0,0,0,-202397975,-402807273,58,20,10,90,189,151
41,21000,20,16,14,0,17,16,14,84.3592,66,0.0,0,0,0,0,0,0,0,0,-202397975,-402807235,56,66,10,90,186,15
42,21500,20,16,14,0,17,16,15,34.3593,66,0.0,0,0,0,0,0,0,0,0,-202397975,-402807235,56,66,10,90,185,5
43,22000,20,16,15,0,17,16,15,84.3607,72,0.0,0,0,0,0,0,0,0,0,-202397956,-402807159,64,72,10,78,188,100
44,22500,20,16,15,0,17,16,16,34.3593,72,0.0,0,0,0,0,0,0,0,0,-202397956,-402807159,64,72,10,78,176,91
45,23000,20,16,16,0,17,16,16,84.3605,142,0.0,0,0,0,0,0,0,0,0,-202397975,-402807121,65,142,10,90,185,255
46,23500,20,16,16,0,17,16,17,34.2886,142,0.0,0,0,0,0,0,0,0,0,-202397975,-402807121,65,142,10,90,189,246
47,24000,20,16,17,0,17,16,17,84.2877,212,0.0,0,0,0,0,0,0,0,0,-202398033,-402807121,65,212,10,90,180,64
48,24500,20,16,17,0,17,16,18,34.2879,212,0.0,0,0,0,0,0,0,0,0,-202398033,-402807121,65,212,10,90,177,55
49,25000,20,16,18,0,17,16,18,84.2894,422,0.0,0,0,0,0,0,0,0,0,-202398109,-402807121,63,422,11,90,183,136
50,25500,20,16,18,0,17,16,19,35.0461,422,0.0,0,0,0,0,0,0,0,0,-202398109,-402807121,63,422,11,90,186,127
51,26000,20,16,19,0,17,16,19,84.1429,568,0.0,0,0,0,0,0,0,0,0,-202398242,-402807083,60,568,10,90,193,57
52,26500,20,16,19,0,17,16,20,34.1424,568,0.0,0,0,0,0,0,0,0,0,-202398242,-402807083,60,568,10,90,190,48
53,27000,20,16,20,0,17,16,20,84.1432,707,0.0,0,0,0,0,0,0,0,0,-202398414,-402807083,59,707,11,90,189,146
54,27500,20,16,20,0,17,16,21,34.1424,707,0.0,0,0,0,0,0,0,0,0,-202398414,-402807083,59,707,11,90,185,137
55,28000,20,16,21,0,17,16,21,84.6732,792,0.0,0,0,0,0,0,0,0,0,-202398605,-402807121,53,792,11,90,184,65
56,28500,20,16,21,0,17,16,22,34.673,792,0.0,0,0,0,0,0,0,0,0,-202398605,-402807121,53,792,11,90,174,56
57,29000,20,16,22,0,17,16,22,85.0213,709,0.0,0,0,0,0,0,0,0,0,-202398796,-402807121,50,709,10,90,190,196
58,29500,20,16,22,0,17,16,23,35.0213,709,0.0,0,0,0,0,0,0,0,0,-202398796,-402807121,50,709,10,90,181,187
59,30000,20,16,23,0,17,16,23,85.0212,544,0.0,0,0,0,0,0,0,0,0,-202398929,-402807121,48,544,11,78,188,215
60,30500,20,16,23,0,17,16,24,34.9156,544,0.0,0,0,0,0,0,0,0,0,-202398929,-402807121,48,544,11,78,184,206
61,31000,20,16,24,0,17,16,24,84.9157,479,0.0,0,0,0,0,0,0,0,0,-202399044,-402807083,50,479,11,78,176,246
62,31500,20,16,24,0,17,16,25,34.202,479,0.0,0,0,0,0,0,0,0,0,-202399044,-402807083,50,479,11,78,185,237
63,32000,20,16,25,0,17,16,25,84.2015,546,0.0,0,0,0,0,0,0,0,0,-202399158,-402807044,50,546,11,78,174,34
64,32500,20,16,25,0,17,16,26,33.7604,546,0.0,0,0,0,0,0,0,0,0,-202399158,-402807044,50,546,11,78,180,24
65,33000,20,16,26,0,17,16,26,84.1352,868,0.0,0,0,0,0,0,0,0,0,-202399311,-402806930,53,868,11,78,184,114
66,33500,20,16,26,0,17,16,27,34.135,868,0.0,0,0,0,0,0,0,0,0,-202399311,-402806930,53,868,11,78,180,105
67,34000,20,16,27,0,17,16,27,84.1351,1051,0.0,0,0,0,0,0,0,0,0,-202399559,-402806892,54,1051,11,78,184,255
68,34500,20,16,27,0,17,16,28,34.1366,1051,0.0,0,0,0,0,0,0,0,0,-202399559,-402806892,54,1051,11,78,181,246
69,35000,20,16,28,0,17,16,28,84.194,1124,0.0,0,0,0,0,0,0,0,0,-202399826,-402806816,51,1124,11,78,183,189
70,35500,20,16,28,0,17,16,29,34.2537,1124,0.0,0,0,0,0,0,0,0,0,-202399826,-402806816,51,1124,11,78,180,180
71,36000,20,16,29,0,17,16,29,84.2529,1383,0.0,0,0,0,0,0,0,0,0,-202400131,-402806739,53,1383,11,78,171,210
72,36500,20,16,29,0,17,16,30,34.2528,1383,0.0,0,0,0,0,0,0,0,0,-202400131,-402806739,53,1383,11,78,182,201
73,37000,20,16,30,0,17,16,30,84.2528,1868,0.0,0,0,0,0,0,0,0,0,-202400569,-402806701,54,1868,11,78,169,254
74,37500,20,16,30,0,17,16,31,33.8483,1868,0.0,0,0,0,0,0,0,0,0,-202400569,-402806701,54,1868,11,78,163,245
75,38000,20,16,31,0,17,16,31,83.8482,1833,0.0,0,0,0,0,0,0,0,0,-202401027,-402806663,55,1833,11,78,178,2
76,38500,20,16,31,0,17,16,32,33.8479,1833,0.0,0,0,0,0,0,0,0,0,-202401027,-402806663,55,1833,11,78,180,249
77,39000,20,16,32,0,17,16,32,83.8485,1800,0.0,0,0,0,0,0,0,0,0,-202401466,-402806663,56,1800,11,72,176,242
78,39500,20,16,32,0,17,16,33,33.8245,1800,0.0,0,0,0,0,0,0,0,0,-202401466,-402806663,56,1800,11,72,182,233
