PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,LATENCIA,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,44742,20,49,54,0,17,49,55,1.1979,0.7735000000102445,3,0.0,0,0,0,0,0,0,0,0,-202399063,-402806930,73,3,9,100,181,211
1,46449,20,49,55,0,17,49,56,72.5921,0.7735000000102445,7,0.0,0,0,0,0,0,0,0,0,-202399063,-402806930,75,7,8,100,183,144
2,48155,20,49,57,0,17,49,58,42.5447,0.7575000000069849,3,0.0,0,0,0,0,0,0,0,0,-202399063,-402806930,70,3,8,100,183,55
3,49862,20,49,59,0,17,50,0,14.6098,0.7734999999520369,1,0.0,0,0,0,0,0,0,0,0,-202399063,-402806930,64,1,9,100,185,226
4,51570,20,50,0,0,17,50,1,85.2907,0.7735000000102445,1,0.0,0,0,0,0,0,0,0,0,-202399063,-402806930,60,1,9,100,182,88
5,53277,20,50,2,0,17,50,3,55.7629,0.7735000000102445,0,0.0,0,0,0,0,0,0,0,0,-202399063,-402806930,53,0,9,100,186,4
6,54984,20,50,4,0,17,50,5,26.075,0.7735000000102445,1,0.0,0,0,0,0,0,0,0,0,-202399082,-402806930,48,1,9,100,182,162
7,56691,20,50,5,0,17,50,6,96.7902,0.7654999999795109,3,0.0,0,0,0,0,0,0,0,0,-202399082,-402806930,45,3,9,100,177,87
8,58399,20,50,7,0,17,50,8,67.1971,0.7654999999795109,179,0.0,0,0,0,0,0,0,0,0,-202399139,-402806930,37,179,9,114,192,58
9,60106,20,50,9,0,17,50,10,39.1093,0.7735000000102445,396,0.0,0,0,0,0,0,0,0,0,-202399272,-402806854,37,396,9,101,185,91
10,61814,20,50,11,0,17,50,12,9.4213,0.7735000000102445,387,0.0,0,0,0,0,0,0,0,0,-202399463,-402806816,37,387,9,84,184,85
11,63521,20,50,12,0,17,50,13,79.8815,0.7729999999864958,311,0.0,0,0,0,0,0,0,0,0,-202399539,-402806777,49,311,11,78,185,84
12,65229,20,50,14,0,17,50,15,50.1153,0.7660000000032596,283,0.0,0,0,0,0,0,0,0,0,-202399673,-402806701,56,283,10,78,171,157
13,66936,20,50,16,0,17,50,17,21.123,0.7735000000102445,133,0.0,0,0,0,0,0,0,0,0,-202399768,-402806663,60,133,9,101,180,5
14,68643,20,50,17,0,17,50,18,91.4537,0.7654999999795109,129,0.0,0,0,0,0,0,0,0,0,-202399787,-402806625,63,129,10,84,179,183
15,70350,20,50,19,0,17,50,20,62.7577,0.7660000000032596,1,0.0,0,0,0,0,0,0,0,0,-202399787,-402806625,68,1,10,78,178,106
16,72058,20,50,21,0,17,50,22,33.5067,0.7735000000102445,87,0.0,0,0,0,0,0,0,0,0,-202399806,-402806625,75,87,11,78,172,193
17,73766,20,50,23,0,17,50,24,4.1191,0.7654999999795109,694,0.0,0,0,0,0,0,0,0,0,-202399959,-402806510,76,694,10,84,167,26
18,75473,20,50,24,0,17,50,25,74.6839,0.7660000000032596,1068,0.0,0,0,0,0,0,0,0,0,-202400188,-402806396,88,1068,10,78,173,79
19,77180,20,50,26,0,17,50,27,46.1567,0.7735000000102445,1739,0.0,0,0,0,0,0,0,0,0,-202400875,-402806282,95,1739,10,78,178,13
20,78888,20,50,28,0,17,50,29,16.641,0.7729999999864958,1998,0.0,0,0,0,0,0,0,0,0,-202401771,-402806243,103,1998,9,86,179,127
21,80595,20,50,29,0,17,50,30,88.0549,0.7735000000102445,2389,0.0,0,0,0,0,0,0,0,0,-202402343,-402806243,106,2389,10,86,172,9
22,82302,20,50,31,0,17,50,32,57.2897,0.7660000000032596,3109,0.0,0,0,0,0,0,0,0,0,-202403793,-402806243,108,3109,11,78,168,176
23,84009,20,50,33,0,17,50,34,28.0545,0.7654999999795109,3181,0.0,0,0,0,0,0,0,0,0,-202405338,-402806243,110,3181,11,78,168,232
24,85717,20,50,35,0,17,50,35,99.3349,0.7735000000102445,3376,0.0,0,0,0,0,0,0,0,0,-202406959,-402806053,111,3376,11,78,171,136
25,87423,20,50,36,0,17,50,37,69.914,0.7660000000032596,3385,0.0,0,0,0,0,0,0,0,0,-202407779,-402805862,115,3385,11,78,178,218
26,89131,20,50,38,0,17,50,39,40.5781,0.7654999999795109,3283,0.0,0,0,0,0,0,0,0,0,-202409381,-402805366,123,3283,10,78,173,115
27,90838,20,50,40,0,17,50,41,11.7134,0.7735000000102445,3098,0.0,0,0,0,0,0,0,0,0,-202410888,-402804908,128,3098,10,78,182,157
