PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,1000,21,10,17,10,18,10,19,25.8542,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,223,54
1,2000,21,10,19,0,18,10,20,26.0078,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,27
2,3000,21,10,20,0,18,10,21,24.7015,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,9
3,4000,21,10,21,0,18,10,22,24.7021,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,247
4,5000,21,10,22,0,18,10,23,25.2051,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,235,229
5,6000,21,10,23,0,18,10,24,25.2026,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,240,211
6,7000,21,10,23,0,18,10,25,25.6798,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,246,192
7,8000,21,10,25,0,18,10,26,25.6817,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,246,175
8,9000,21,10,26,0,18,10,27,25.9947,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,157
9,10000,21,10,27,0,18,10,28,25.2842,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,139
10,11000,21,10,28,0,18,10,29,25.283,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,241,120
11,12000,21,10,29,0,18,10,30,25.0534,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,102
12,13000,21,10,29,0,18,10,31,25.053,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,246,83
13,14000,21,10,31,0,18,10,32,25.081,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,247,66
14,15000,21,10,32,0,18,10,33,25.3312,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,243,48
15,16000,21,10,33,0,18,10,34,25.2924,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,30
16,17000,21,10,34,0,18,10,35,25.2921,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,223,12
17,18000,21,10,35,0,18,10,36,25.2768,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,250
18,19000,21,10,35,0,18,10,37,24.9231,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,231
19,20000,21,10,37,0,18,10,38,25.4482,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,212,246,158
20,21000,21,10,37,0,18,10,39,25.8356,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,210,246,137
21,22000,21,10,38,0,18,10,40,25.8339,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,145,244,55
22,23000,21,10,39,0,18,10,41,25.8413,209,0.0,0,0,0,0,0,0,0,0,-202389373,-402787208,202,209,8,145,247,17
23,24000,21,10,40,0,18,10,42,25.8413,544,0.0,0,0,0,0,0,0,0,0,-202389259,-402787132,212,544,8,105,247,65
24,25000,21,10,41,0,18,10,43,26.2652,583,0.0,0,0,0,0,0,0,0,0,-202389335,-402787132,237,583,9,95,247,65
25,26000,21,10,42,0,18,10,44,24.9267,192,0.0,0,0,0,0,0,0,0,0,-202389354,-402787132,262,192,9,95,248,36
26,27000,21,10,43,0,18,10,45,24.9261,83,0.0,0,0,0,0,0,0,0,0,-202389392,-402787055,268,83,8,95,247,101
27,28000,21,10,44,0,18,10,46,25.278,285,0.0,0,0,0,0,0,0,0,0,-202389335,-402787017,277,285,9,95,248,82
28,29000,21,10,45,0,18,10,47,25.2796,18,0.0,0,0,0,0,0,0,0,0,-202389316,-402787055,282,18,8,102,248,32
29,30000,21,10,46,0,18,10,48,25.1906,75,0.0,0,0,0,0,0,0,0,0,-202389259,-402787094,287,75,9,102,248,151
30,31000,21,10,47,0,18,10,49,25.1906,29,0.0,0,0,0,0,0,0,0,0,-202389183,-402787055,292,29,9,95,248,156
31,32000,21,10,48,0,18,10,50,26.3433,18,0.0,0,0,0,0,0,0,0,0,-202389125,-402787055,291,18,9,95,248,173
32,33000,21,10,49,0,18,10,51,24.8735,51,0.0,0,0,0,0,0,0,0,0,-202389087,-402787055,295,51,9,95,247,6
