PACKAGE,ELAPSED_TIME,HOUR_GPS,MIN_GPS,SEC_GPS,CENT_GPS,HOUR_PC,MIN_PC,SEC_PC,CENT_PC,VEL_RODA,ROTACAO,TEMP,FLUIDO,AX,AY,AZ,ROLL,PITCH,HEADING,LAT,LON,ALT,VEL_GPS,SAT,HDOP,RSSI,CHECKSUM
0,1000,14,34,25,98,11,34,27,15.2242,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,222,167
1,2000,14,34,27,0,11,34,28,15.4651,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,52
2,3000,14,34,28,0,11,34,29,15.203,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,34
3,4000,14,34,29,0,11,34,30,15.6301,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,16
4,5000,14,34,30,0,11,34,31,15.1725,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,254
5,6000,14,34,31,0,11,34,32,14.5718,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,236
6,7000,14,34,32,0,11,34,33,14.8979,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,218
0,1000,14,35,11,4,11,35,12,21.4978,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,231,60
1,2000,14,35,12,0,11,35,13,20.1711,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,225,38
2,3000,14,35,13,0,11,35,14,21.5054,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,56,224,66
3,4000,14,35,14,0,11,35,15,20.2255,663,0.0,0,0,0,0,0,0,0,0,-202653598,-402626533,-25,663,10,109,227,237
4,5000,14,35,15,0,11,35,16,20.162,311,0.0,0,0,0,0,0,0,0,0,-202653560,-402626609,-8,311,10,90,232,240
5,6000,14,35,16,0,11,35,17,20.5587,324,0.0,0,0,0,0,0,0,0,0,-202653560,-402626686,6,324,9,90,229,185
6,7000,14,35,17,0,11,35,18,21.3147,192,0.0,0,0,0,0,0,0,0,0,-202653598,-402626647,3,192,8,92,229,156
7,8000,14,35,18,0,11,35,19,20.5826,229,0.0,0,0,0,0,0,0,0,0,-202653598,-402626647,3,229,9,90,232,211
8,9000,14,35,19,0,11,35,20,20.1454,261,0.0,0,0,0,0,0,0,0,0,-202653598,-402626686,17,261,8,99,233,242
9,10000,14,35,20,0,11,35,21,20.9493,240,0.0,0,0,0,0,0,0,0,0,-202653598,-402626724,25,240,8,99,228,150
10,11000,14,35,21,0,11,35,22,20.0885,59,0.0,0,0,0,0,0,0,0,0,-202653617,-402626724,29,59,8,99,228,10
11,12000,14,35,22,0,11,35,23,21.3516,62,0.0,0,0,0,0,0,0,0,0,-202653656,-402626724,30,62,9,90,232,208
12,13000,14,35,23,0,11,35,24,20.4379,66,0.0,0,0,0,0,0,0,0,0,-202653675,-402626724,35,66,10,92,233,187
13,14000,14,35,24,0,11,35,25,20.8488,27,0.0,0,0,0,0,0,0,0,0,-202653694,-402626762,41,27,10,90,234,38
14,15000,14,35,25,0,11,35,26,21.3211,18,0.0,0,0,0,0,0,0,0,0,-202653713,-402626762,50,18,10,81,233,238
15,16000,14,35,26,0,11,35,27,20.8306,48,0.0,0,0,0,0,0,0,0,0,-202653713,-402626800,51,48,10,81,232,243
16,17000,14,35,27,0,11,35,28,21.5387,11,0.0,0,0,0,0,0,0,0,0,-202653713,-402626800,55,11,10,81,233,155
17,18000,14,35,28,0,11,35,29,20.143,20,0.0,0,0,0,0,0,0,0,0,-202653713,-402626838,56,20,10,81,232,117
18,19000,14,35,29,0,11,35,30,20.6654,11,0.0,0,0,0,0,0,0,0,0,-202653713,-402626838,60,11,10,81,234,85
19,20000,14,35,30,0,11,35,31,20.1028,16,0.0,0,0,0,0,0,0,0,0,-202653732,-402626838,61,16,10,81,234,59
20,21000,14,35,31,0,11,35,32,21.3184,29,0.0,0,0,0,0,0,0,0,0,-202653713,-402626838,61,29,10,81,235,86
